Вакансия,Ссылка,Зарплата_от,Зарплата_до,Валюта,Сайт_вакансии,Работодатель,Город
Data Scientist,https://almaty.hh.kz/vacancy/52094583,,,,https://hh.kz,АО Банк ЦентрКредит,Алматы
Преподаватель информатики,https://almaty.hh.kz/vacancy/51580172,310000,,KZT,https://hh.kz,Шанталосова Алеся,Алматы
DevOps Engineer,https://almaty.hh.kz/vacancy/49719462,,,,https://hh.kz,inDriver,Алматы
Бэкенд Разработчик Питонист (Back-end on Python),https://almaty.hh.kz/vacancy/51922852,400000,,KZT,https://hh.kz,ТОО Frontier KZ,Алматы
Разработчик (Senior/Middle Web-Developer) DWH,https://almaty.hh.kz/vacancy/52228356,800000,,KZT,https://hh.kz,ТОО Транспортный холдинг города Алматы,Алматы
Data Engineer,https://almaty.hh.kz/vacancy/46833366,,,,https://hh.kz,Playrix,Алматы
Старший программист Python,https://almaty.hh.kz/vacancy/51897431,,,,https://hh.kz,"Кселл, АО",Алматы
DevOps Engineer for CRM Team,https://almaty.hh.kz/vacancy/51420700,,,,https://hh.kz,Parimatch Tech,Алматы
QA Automation/Continuous Integration Engineer- KernelCare [Remote],https://almaty.hh.kz/vacancy/49843586,,,,https://hh.kz,Cloud Linux,Алматы
Senior Data Engineer,https://almaty.hh.kz/vacancy/46833413,,,,https://hh.kz,Playrix,Алматы
Аналитик (Data Analyst),https://almaty.hh.kz/vacancy/51893012,,,,https://hh.kz,АО First Heartland Jusan Bank,Алматы
Middle Python developer (удаленно),https://almaty.hh.kz/vacancy/51508727,100000,150000,руб.,https://hh.kz,,Алматы
Data аналитик/Риск-менеджер,https://almaty.hh.kz/vacancy/52122811,,,,https://hh.kz,АО Банк ЦентрКредит,Алматы
QA инженер (backend),https://almaty.hh.kz/vacancy/50764215,,,,https://hh.kz,Тинькофф,Алматы
"Auto Test Engineer (Python - web, mobile)",https://almaty.hh.kz/vacancy/52010425,,,,https://hh.kz,Auriga,Алматы
Data Scientist (Речевая аналитика),https://almaty.hh.kz/vacancy/51466417,,,,https://hh.kz,"Kaspi Bank, АО",Алматы
Back-End Python Developer,https://almaty.hh.kz/vacancy/51242811,,,,https://hh.kz,ТОО Globerce Inc.,Алматы
Data Engineer,https://almaty.hh.kz/vacancy/49993086,,,,https://hh.kz,DataArt,Алматы
DevOps инженер,https://almaty.hh.kz/vacancy/51982800,350000,600000,KZT,https://hh.kz,ТОО Алматинская Лаборатория Искусственного Интеллекта,Алматы
Data-инженер,https://almaty.hh.kz/vacancy/49366427,600000,900000,KZT,https://hh.kz,Kolesa Group,Алматы
"Senior BigData Engineer, Financial Software Solutions",https://almaty.hh.kz/vacancy/50377470,,,,https://hh.kz,DataArt,Алматы
C++ Developer,https://almaty.hh.kz/vacancy/50383469,,,,https://hh.kz,DataArt,Алматы
Junior Data-аналитик (Kolesa Academy)/Стажер,https://almaty.hh.kz/vacancy/51830115,150000,150000,KZT,https://hh.kz,Kolesa Group,"Алматы, Алатау"
Big Data Engineer,https://almaty.hh.kz/vacancy/51068835,,,,https://hh.kz,"ТОО Epam Kazakhstan (Эпам Казахстан),ТОО",Алматы
Инженер-программист,https://almaty.hh.kz/vacancy/52392728,,,,https://hh.kz,ТОО ICS Support&Solutions,Алматы
"DevOps Engineer (Middle, Senior/Lead)",https://almaty.hh.kz/vacancy/51691550,1500,5000,USD,https://hh.kz,ООО Kanda CA,Алматы
Associate / Intern to Data Analytics (Almaty),https://almaty.hh.kz/vacancy/48031494,,,,https://hh.kz,PricewaterhouseCoopers,Алматы
Middle QA Engineer,https://almaty.hh.kz/vacancy/52394573,,,,https://hh.kz,ТОО EA Group Holding,Алматы
Middle Kernel Developer - KernelCare [Remote],https://almaty.hh.kz/vacancy/50790771,,,,https://hh.kz,Cloud Linux,Алматы
Senior Kernel Developer - KernelCare [Remote],https://almaty.hh.kz/vacancy/50362963,,,,https://hh.kz,Cloud Linux,Алматы
Middle/Senior Go Developer,https://almaty.hh.kz/vacancy/47504849,350000,1200000,KZT,https://hh.kz,ТОО One technologies,Алматы
Разработчик корпоративных web-приложений,https://almaty.hh.kz/vacancy/52143095,,,,https://hh.kz,ТОО ICORE-Integration,"Алматы, Байконур"
Разработчик мобильных приложений,https://almaty.hh.kz/vacancy/52389619,,,,https://hh.kz,ТОО Law Group Kazakhstan,Алматы
Senior Full-Stack Developer,https://almaty.hh.kz/vacancy/51130227,,,,https://hh.kz,DataArt,Алматы
Data Integration Engineer,https://almaty.hh.kz/vacancy/51068841,,,,https://hh.kz,"ТОО Epam Kazakhstan (Эпам Казахстан),ТОО",Алматы
QA Инженер (Manual),https://almaty.hh.kz/vacancy/52385716,,,,https://hh.kz,АО First Heartland Jusan Invest,Алматы
Data Analyst,https://almaty.hh.kz/vacancy/51068848,,,,https://hh.kz,"ТОО Epam Kazakhstan (Эпам Казахстан),ТОО",Алматы
Преподаватель программирования для детей и подростков,https://almaty.hh.kz/vacancy/51354897,100000,400000,KZT,https://hh.kz,ТОО IT Mind,Алматы
Packaging Engineer in ALT&EA team,https://almaty.hh.kz/vacancy/52019911,,,,https://hh.kz,Cloud Linux,Алматы
Applicaton Security Engineer,https://almaty.hh.kz/vacancy/52384980,,,,https://hh.kz,"Beeline, ТМ",Алматы
Web QA Engineer,https://almaty.hh.kz/vacancy/41809037,250000,950000,KZT,https://hh.kz,Kolesa Group,Алматы
Аналитик данных,https://almaty.hh.kz/vacancy/52143781,,,,https://hh.kz,ТОО Astana-Plat,Алматы
IT-рекрутер/стажер,https://almaty.hh.kz/vacancy/52165688,,55000,KZT,https://hh.kz,"АО Банк Хоум Кредит, ДБ АО",Алматы
Главный риск-менеджер Департамента кредитных рисков корпоративного бизнеса,https://almaty.hh.kz/vacancy/49057462,,,,https://hh.kz,АО First Heartland Jusan Bank,Алматы
React Frontend Developer,https://almaty.hh.kz/vacancy/52139114,,,,https://hh.kz,Chocofamily,Алматы
Middle Developer .Net,https://almaty.hh.kz/vacancy/52121483,100000,,руб.,https://hh.kz,ООО ИЦБ,Алматы
"Rust Developer, Banking Services",https://almaty.hh.kz/vacancy/49258898,,,,https://hh.kz,DataArt,Алматы
Преподаватель программирования для детей,https://almaty.hh.kz/vacancy/52076905,52000,80000,руб.,https://hh.kz,Skyeng,Алматы
"QA Automation Engineer, Banking Services",https://almaty.hh.kz/vacancy/49211478,,,,https://hh.kz,DataArt,Алматы
DevOps Инженер,https://almaty.hh.kz/vacancy/52070248,,,,https://hh.kz,АО TECHNODOM Operator (Технодом Оператор),"Алматы, Алатау"
DevOps инженер,https://almaty.hh.kz/vacancy/52070140,,,,https://hh.kz,АО TECHNODOM Operator (Технодом Оператор),"Алматы, Алатау"
Web-мастер,https://almaty.hh.kz/vacancy/51790194,500000,,KZT,https://hh.kz,ТОО Ruba Technology,Алматы
Web Developer,https://almaty.hh.kz/vacancy/52054146,350000,900000,KZT,https://hh.kz,АО «Страховая компания «Amanat»,Алматы
Руководитель направления коллекшн-скоринга,https://almaty.hh.kz/vacancy/52058322,,,,https://hh.kz,АО Банк ЦентрКредит,Алматы
DevOps Engineer,https://almaty.hh.kz/vacancy/52023238,,,,https://hh.kz,Auriga,Алматы
Стажер в Отдел OMC-R (Технический блок),https://almaty.hh.kz/vacancy/52015631,,,,https://hh.kz,"Beeline, ТМ",Алматы
Маркетинговый аналитик,https://almaty.hh.kz/vacancy/52041246,500000,700000,KZT,https://hh.kz,Kolesa Group,Алматы
Senior IT Recruiter,https://almaty.hh.kz/vacancy/52038999,,1000000,KZT,https://hh.kz,ТОО On Point (Он Поинт),Алматы
Team Lead,https://almaty.hh.kz/vacancy/50762160,,,,https://hh.kz,Playrix,Алматы
Специалист службы технической поддержки,https://almaty.hh.kz/vacancy/52041975,200000,300000,KZT,https://hh.kz,ТОО ATLANT payments,Алматы
Преподаватель программирования для детей,https://almaty.hh.kz/vacancy/51490571,48000,80000,руб.,https://hh.kz,Skyeng,Алматы
Head of Data Science,https://almaty.hh.kz/vacancy/51492488,,,,https://hh.kz,"Beeline, ТМ",Алматы
Senior DevOps engineer,https://almaty.hh.kz/vacancy/51460211,,,,https://hh.kz,ТОО УМНЫЕ ГОРОДА,Алматы
Business analyst (SQL),https://almaty.hh.kz/vacancy/51460297,,,,https://hh.kz,METRO Cash&Carry (Kazakhstan),Алматы
Middle DevOps инженер,https://almaty.hh.kz/vacancy/51411337,,,,https://hh.kz,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Алматы
Преподаватель по программированию в отдел академии (онлайн),https://almaty.hh.kz/vacancy/51401669,100000,200000,KZT,https://hh.kz,ИП BILIM WAY (Нурлы),Алматы
Senior/Middle Backend developer,https://almaty.hh.kz/vacancy/51407059,,,,https://hh.kz,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Алматы
Стажер-аналитик,https://almaty.hh.kz/vacancy/51349409,,,,https://hh.kz,АО Mega Center Management,Алматы
Senior/Middle DevOps engineer,https://almaty.hh.kz/vacancy/51271185,,,,https://hh.kz,ТОО Astana-Plat,Алматы
"Разработчик приложений, Департамент информационных технологий",https://almaty.hh.kz/vacancy/51236628,,,,https://hh.kz,АО Al Hilal Банк,Алматы
Архитектор облачных решений,https://almaty.hh.kz/vacancy/51253402,,,,https://hh.kz,"Казтелепорт, АО",Алматы
"Senior Data Engineer, Online Genealogy Servicer",https://almaty.hh.kz/vacancy/50377442,,,,https://hh.kz,DataArt,Алматы
Старший эксперт по анализу BI,https://almaty.hh.kz/vacancy/51212136,,,,https://hh.kz,"Beeline, ТМ",Алматы
Web-программист,https://almaty.hh.kz/vacancy/51256196,230000,260000,KZT,https://hh.kz,ТОО КазИнфоТех АЦП,"Алматы, Москва"
Golang разработчик,https://almaty.hh.kz/vacancy/51177821,,,,https://hh.kz,ТОО Re:point,Алматы
Senior/Middle Java разработчик,https://almaty.hh.kz/vacancy/51184177,,,,https://hh.kz,"АО Банк Хоум Кредит, ДБ АО",Алматы
Главный менеджер Управления аналитических систем Департамента информационных технологий,https://almaty.hh.kz/vacancy/51199672,,,,https://hh.kz,АО Altyn Bank,Алматы
Корпоративный архитектор по направлению «Информационные системы» (Дирекция по ИТ),https://almaty.hh.kz/vacancy/51478328,,,,https://hh.kz,ЗАО Кумтор Голд Компани,Алматы
Специалист по информационным системам,https://almaty.hh.kz/vacancy/51410437,,,,https://hh.kz,ТОО Carlsberg Kazakhstan,Алматы
Инженер-разработчик,https://almaty.hh.kz/vacancy/52132397,350000,350000,KZT,https://hh.kz,Казахский национальный университет им. аль-Фараби,Алматы
